,SOURCE,ARTICULO,WORDS,TRANSLATE,SENTENCES,READ,HEAR,WRITE,TALK,STATUS
171,,,personas,,,,,,,
172,,,grupo,,,,,,,
173,,,cuenta,,,,,,,
174,,,pueden,,,,,,,
175,,,tienen,,,,,,,
176,,,misma,,,,,,,
177,,,nueva,,,,,,,
178,,,cual,,,,,,,
179,,,fueron,,,,,,,
180,,,mujer,,,,,,,
181,,,frente,,,,,,,
182,,,josé,,,,,,,
183,,,tras,,,,,,,
184,,,cosas,,,,,,,
185,,,fin,,,,,,,
186,,,ciudad,,,,,,,
187,,,he,,,,,,,
188,,,social,,,,,,,
189,,,manera,,,,,,,
190,,,tener,,,,,,,
191,,,sistema,,,,,,,
192,,,será,,,,,,,
193,,,historia,,,,,,,
194,,,muchos,,,,,,,
195,,,juan,,,,,,,
196,,,tipo,,,,,,,
197,,,cuatro,,,,,,,
198,,,dentro,,,,,,,
199,,,nuestro,,,,,,,
200,,,punto,,,,,,,
201,,,dice,,,,,,,
202,,,ello,,,,,,,
203,,,cualquier,,,,,,,
204,,,noche,,,,,,,
205,,,aún,,,,,,,
206,,,agua,,,,,,,
207,,,parece,,,,,,,
208,,,haber,,,,,,,
209,,,situación,,,,,,,
210,,,fuera,,,,,,,
211,,,bajo,,,,,,,
212,,,grandes,,,,,,,
213,,,nuestra,,,,,,,
214,,,ejemplo,,,,,,,
215,,,acuerdo,,,,,,,
216,,,habían,,,,,,,
217,,,usted,,,,,,,
218,,,estados,,,,,,,
219,,,hizo,,,,,,,
220,,,nadie,,,,,,,
221,,,países,,,,,,,
222,,,horas,,,,,,,
223,,,posible,,,,,,,
224,,,tarde,,,,,,,
225,,,ley,,,,,,,
226,,,importante,,,,,,,
227,,,guerra,,,,,,,
228,,,desarrollo,,,,,,,
229,,,proceso,,,,,,,
230,,,realidad,,,,,,,
231,,,sentido,,,,,,,
232,,,lado,,,,,,,
233,,,mí,,,,,,,
234,,,tu,,,,,,,
235,,,cambio,,,,,,,
236,,,allí,,,,,,,
237,,,mano,,,,,,,
238,,,eran,,,,,,,
239,,,estar,,,,,,,
240,,,san,,,,,,,
241,,,número,,,,,,,
242,,,sociedad,,,,,,,
243,,,unas,,,,,,,
244,,,centro,,,,,,,
245,,,padre,,,,,,,
246,,,gente,,,,,,,
247,,,final,,,,,,,
248,,,relación,,,,,,,
249,,,cuerpo,,,,,,,
250,,,obra,,,,,,,
251,,,incluso,,,,,,,
252,,,través,,,,,,,
253,,,último,,,,,,,
254,,,madre,,,,,,,
255,,,mis,,,,,,,
256,,,modo,,,,,,,
257,,,problemas,,,,,,,
258,,,cinco,,,,,,,
259,,,carlos,,,,,,,
260,,,hombres,,,,,,,
261,,,información,,,,,,,
262,,,ojos,,,,,,,
263,,,muerte,,,,,,,
264,,,nombre,,,,,,,
265,,,algunas,,,,,,,
266,,,público,,,,,,,
267,,,mujeres,,,,,,,
268,,,siglo,,,,,,,
269,,,todavía,,,,,,,
270,,,meses,,,,,,,
271,,,mañana,,,,,,,
272,,,esos,,,,,,,
273,,,nosotros,,,,,,,
274,,,hora,,,,,,,
275,,,muchas,,,,,,,
276,,,pueblo,,,,,,,
277,,,alguna,,,,,,,
278,,,dar,,,,,,,
279,,,problema,,,,,,,
280,,,don,,,,,,,
281,,,da,,,,,,,
282,,,tú,,,,,,,
283,,,derecho,,,,,,,
284,,,verdad,,,,,,,
285,,,maría,,,,,,,
286,,,unidos,,,,,,,
287,,,podría,,,,,,,
288,,,sería,,,,,,,
289,,,junto,,,,,,,
290,,,cabeza,,,,,,,
291,,,aquel,,,,,,,
292,,,luis,,,,,,,
293,,,cuanto,,,,,,,
294,,,tierra,,,,,,,
295,,,equipo,,,,,,,
296,,,segundo,,,,,,,
297,,,director,,,,,,,
298,,,dicho,,,,,,,
299,,,cierto,,,,,,,
300,,,casos,,,,,,,
301,,,manos,,,,,,,
302,,,nivel,,,,,,,
303,,,podía,,,,,,,
304,,,familia,,,,,,,
305,,,largo,,,,,,,
306,,,partir,,,,,,,
307,,,falta,,,,,,,
308,,,llegar,,,,,,,
309,,,propio,,,,,,,
310,,,ministro,,,,,,,
311,,,cosa,,,,,,,
312,,,primero,,,,,,,
313,,,seguridad,,,,,,,
314,,,hemos,,,,,,,
315,,,mal,,,,,,,
316,,,trata,,,,,,,
317,,,algún,,,,,,,
318,,,tuvo,,,,,,,
319,,,respecto,,,,,,,
320,,,semana,,,,,,,
321,,,varios,,,,,,,
322,,,real,,,,,,,
323,,,sé,,,,,,,
324,,,voz,,,,,,,
325,,,paso,,,,,,,
326,,,señor,,,,,,,
327,,,mil,,,,,,,
328,,,quienes,,,,,,,
329,,,proyecto,,,,,,,
330,,,mercado,,,,,,,
331,,,mayoría,,,,,,,
332,,,luz,,,,,,,
333,,,claro,,,,,,,
334,,,iba,,,,,,,
335,,,éste,,,,,,,
336,,,pesetas,,,,,,,
337,,,orden,,,,,,,
338,,,español,,,,,,,
339,,,buena,,,,,,,
340,,,quiere,,,,,,,
341,,,aquella,,,,,,,
342,,,programa,,,,,,,
343,,,palabras,,,,,,,
344,,,internacional,,,,,,,
345,,,van,,,,,,,
346,,,esas,,,,,,,
347,,,segunda,,,,,,,
348,,,empresa,,,,,,,
349,,,puesto,,,,,,,
350,,,ahí,,,,,,,
351,,,propia,,,,,,,
352,,,m,,,,,,,
353,,,libro,,,,,,,
354,,,igual,,,,,,,
355,,,político,,,,,,,
356,,,persona,,,,,,,
357,,,últimos,,,,,,,
358,,,ellas,,,,,,,
359,,,total,,,,,,,
360,,,creo,,,,,,,
361,,,tengo,,,,,,,
362,,,dios,,,,,,,
363,,,c,,,,,,,
364,,,española,,,,,,,
365,,,condiciones,,,,,,,
366,,,méxico,,,,,,,
367,,,fuerza,,,,,,,
368,,,solo,,,,,,,
369,,,único,,,,,,,
370,,,acción,,,,,,,
371,,,amor,,,,,,,
372,,,policía,,,,,,,
373,,,puerta,,,,,,,
374,,,pesar,,,,,,,
375,,,zona,,,,,,,
376,,,sabe,,,,,,,
377,,,calle,,,,,,,
378,,,interior,,,,,,,
379,,,tampoco,,,,,,,
380,,,música,,,,,,,
381,,,ningún,,,,,,,
382,,,vista,,,,,,,
383,,,campo,,,,,,,
384,,,buen,,,,,,,
385,,,hubiera,,,,,,,
386,,,saber,,,,,,,
387,,,obras,,,,,,,
388,,,razón,,,,,,,
389,,,ex,,,,,,,
390,,,niños,,,,,,,
391,,,presencia,,,,,,,
392,,,tema,,,,,,,
393,,,dinero,,,,,,,
394,,,comisión,,,,,,,
395,,,antonio,,,,,,,
396,,,servicio,,,,,,,
397,,,hijo,,,,,,,
398,,,última,,,,,,,
399,,,ciento,,,,,,,
400,,,estoy,,,,,,,
401,,,hablar,,,,,,,
402,,,dio,,,,,,,
403,,,minutos,,,,,,,
404,,,producción,,,,,,,
405,,,camino,,,,,,,
406,,,seis,,,,,,,
407,,,quién,,,,,,,
408,,,fondo,,,,,,,
409,,,dirección,,,,,,,
410,,,papel,,,,,,,
411,,,demás,,,,,,,
412,,,barcelona,,,,,,,
413,,,idea,,,,,,,
414,,,especial,,,,,,,
415,,,diferentes,,,,,,,
416,,,dado,,,,,,,
417,,,base,,,,,,,
418,,,capital,,,,,,,
419,,,ambos,,,,,,,
420,,,europa,,,,,,,
421,,,libertad,,,,,,,
422,,,relaciones,,,,,,,
423,,,espacio,,,,,,,
424,,,medios,,,,,,,
425,,,ir,,,,,,,
426,,,actual,,,,,,,
427,,,población,,,,,,,
428,,,empresas,,,,,,,
429,,,estudio,,,,,,,
430,,,salud,,,,,,,
431,,,servicios,,,,,,,
432,,,haya,,,,,,,
433,,,principio,,,,,,,
434,,,siendo,,,,,,,
435,,,cultura,,,,,,,
436,,,anterior,,,,,,,
437,,,alto,,,,,,,
438,,,media,,,,,,,
439,,,mediante,,,,,,,
440,,,primeros,,,,,,,
441,,,arte,,,,,,,
442,,,paz,,,,,,,
443,,,sector,,,,,,,
444,,,imagen,,,,,,,
445,,,medida,,,,,,,
446,,,deben,,,,,,,
447,,,datos,,,,,,,
448,,,consejo,,,,,,,
449,,,personal,,,,,,,
450,,,interés,,,,,,,
451,,,julio,,,,,,,
452,,,grupos,,,,,,,
453,,,miembros,,,,,,,
454,,,ninguna,,,,,,,
455,,,existe,,,,,,,
456,,,cara,,,,,,,
457,,,edad,,,,,,,
458,,,etc,,,,,,,
459,,,movimiento,,,,,,,
460,,,visto,,,,,,,
461,,,llegó,,,,,,,
462,,,puntos,,,,,,,
463,,,actividad,,,,,,,
464,,,bueno,,,,,,,
465,,,uso,,,,,,,
466,,,niño,,,,,,,
467,,,difícil,,,,,,,
468,,,joven,,,,,,,
469,,,futuro,,,,,,,
470,,,aquellos,,,,,,,
471,,,mes,,,,,,,
472,,,pronto,,,,,,,
473,,,soy,,,,,,,
474,,,hacía,,,,,,,
475,,,nuevos,,,,,,,
476,,,nuestros,,,,,,,
477,,,estaban,,,,,,,
478,,,posibilidad,,,,,,,
479,,,sigue,,,,,,,
480,,,cerca,,,,,,,
481,,,resultados,,,,,,,
482,,,educación,,,,,,,
483,,,atención,,,,,,,
484,,,gonzález,,,,,,,
485,,,capacidad,,,,,,,
486,,,efecto,,,,,,,
487,,,necesario,,,,,,,
488,,,valor,,,,,,,
489,,,aire,,,,,,,
490,,,investigación,,,,,,,
491,,,siguiente,,,,,,,
492,,,figura,,,,,,,
493,,,central,,,,,,,
494,,,comunidad,,,,,,,
495,,,necesidad,,,,,,,
496,,,serie,,,,,,,
497,,,organización,,,,,,,
498,,,nuevas,,,,,,,
499,,,calidad,,,,,,,
500,,,economía,,,,,,,
501,,,carácter,,,,,,,
502,,,jefe,,,,,,,
503,,,estamos,,,,,,,
504,,,prensa,,,,,,,
505,,,control,,,,,,,
506,,,sociales,,,,,,,
507,,,universidad,,,,,,,
508,,,militar,,,,,,,
509,,,cabo,,,,,,,
510,,,diez,,,,,,,
511,,,fuerzas,,,,,,,
512,,,congreso,,,,,,,
513,,,ésta,,,,,,,
514,,,hijos,,,,,,,
515,,,justicia,,,,,,,
516,,,mundial,,,,,,,
517,,,dólares,,,,,,,
518,,,juego,,,,,,,
519,,,económica,,,,,,,
520,,,políticos,,,,,,,
521,,,duda,,,,,,,
522,,,recursos,,,,,,,
523,,,pública,,,,,,,
524,,,crisis,,,,,,,
525,,,próximo,,,,,,,
526,,,tenemos,,,,,,,
527,,,decisión,,,,,,,
528,,,varias,,,,,,,
529,,,popular,,,,,,,
530,,,tenido,,,,,,,
531,,,apenas,,,,,,,
532,,,época,,,,,,,
533,,,banco,,,,,,,
534,,,presente,,,,,,,
535,,,menor,,,,,,,
536,,,quiero,,,,,,,
537,,,pasar,,,,,,,
538,,,resultado,,,,,,,
539,,,televisión,,,,,,,
540,,,encuentra,,,,,,,
541,,,gracias,,,,,,,
542,,,ministerio,,,,,,,
543,,,conjunto,,,,,,,
544,,,defensa,,,,,,,
545,,,alguien,,,,,,,
546,,,queda,,,,,,,
547,,,hacen,,,,,,,
548,,,pasa,,,,,,,
549,,,resto,,,,,,,
550,,,causa,,,,,,,
551,,,seguir,,,,,,,
552,,,allá,,,,,,,
553,,,palabra,,,,,,,
554,,,voy,,,,,,,
555,,,cuya,,,,,,,
556,,,vamos,,,,,,,
557,,,mar,,,,,,,
558,,,estudios,,,,,,,
559,,,derechos,,,,,,,
560,,,importancia,,,,,,,
561,,,cuales,,,,,,,
562,,,contrario,,,,,,,
563,,,manuel,,,,,,,
564,,,garcía,,,,,,,
565,,,fuerte,,,,,,,
566,,,sol,,,,,,,
567,,,jóvenes,,,,,,,
568,,,apoyo,,,,,,,
569,,,habría,,,,,,,
570,,,civil,,,,,,,
571,,,miguel,,,,,,,
572,,,pedro,,,,,,,
573,,,partidos,,,,,,,
574,,,libre,,,,,,,
575,,,fuentes,,,,,,,
576,,,administración,,,,,,,
577,,,común,,,,,,,
578,,,dejar,,,,,,,
579,,,cine,,,,,,,
580,,,salir,,,,,,,
581,,,comunicación,,,,,,,
582,,,b,,,,,,,
583,,,experiencia,,,,,,,
584,,,demasiado,,,,,,,
585,,,plan,,,,,,,
586,,,respuesta,,,,,,,
587,,,energía,,,,,,,
588,,,izquierda,,,,,,,
589,,,función,,,,,,,
590,,,principal,,,,,,,
591,,,superior,,,,,,,
592,,,naturaleza,,,,,,,
593,,,podemos,,,,,,,
594,,,unión,,,,,,,
595,,,especialmente,,,,,,,
596,,,rey,,,,,,,
597,,,domingo,,,,,,,
598,,,favor,,,,,,,
599,,,cantidad,,,,,,,
600,,,elecciones,,,,,,,
601,,,clase,,,,,,,
602,,,productos,,,,,,,
603,,,españoles,,,,,,,
604,,,conocer,,,,,,,
605,,,teatro,,,,,,,
606,,,importantes,,,,,,,
607,,,evitar,,,,,,,
608,,,color,,,,,,,
609,,,actividades,,,,,,,
610,,,mesa,,,,,,,
611,,,p,,,,,,,
612,,,decía,,,,,,,
613,,,cuyo,,,,,,,
614,,,debido,,,,,,,
615,,,alta,,,,,,,
616,,,francisco,,,,,,,
617,,,secretario,,,,,,,
618,,,objeto,,,,,,,
619,,,quizá,,,,,,,
620,,,posición,,,,,,,
621,,,parecía,,,,,,,
622,,,natural,,,,,,,
623,,,elementos,,,,,,,
624,,,hubo,,,,,,,
625,,,objetivo,,,,,,,
626,,,formas,,,,,,,
627,,,única,,,,,,,
628,,,pueda,,,,,,,
629,,,origen,,,,,,,
630,,,blanco,,,,,,,
631,,,mismos,,,,,,,
632,,,lleva,,,,,,,
633,,,económico,,,,,,,
634,,,opinión,,,,,,,
635,,,ayuda,,,,,,,
636,,,oficial,,,,,,,
637,,,silencio,,,,,,,
638,,,buenos,,,,,,,
639,,,pensar,,,,,,,
640,,,república,,,,,,,
641,,,dónde,,,,,,,
642,,,sangre,,,,,,,
643,,,encuentro,,,,,,,
644,,,siquiera,,,,,,,
645,,,autor,,,,,,,
646,,,reunión,,,,,,,
647,,,haciendo,,,,,,,
648,,,suelo,,,,,,,
649,,,muestra,,,,,,,
650,,,viejo,,,,,,,
651,,,encima,,,,,,,
652,,,resulta,,,,,,,
653,,,tomar,,,,,,,
654,,,bastante,,,,,,,
655,,,siete,,,,,,,
656,,,lucha,,,,,,,
657,,,pudo,,,,,,,
658,,,amigos,,,,,,,
659,,,línea,,,,,,,
660,,,sur,,,,,,,
661,,,pocos,,,,,,,
662,,,medidas,,,,,,,
663,,,norte,,,,,,,
664,,,partes,,,,,,,
665,,,iglesia,,,,,,,
666,,,tratamiento,,,,,,,
667,,,existencia,,,,,,,
668,,,cargo,,,,,,,
669,,,grande,,,,,,,
670,,,américa,,,,,,,
671,,,boca,,,,,,,
672,,,plaza,,,,,,,
673,,,pie,,,,,,,
674,,,trabajadores,,,,,,,
675,,,poner,,,,,,,
676,,,existen,,,,,,,
677,,,viene,,,,,,,
678,,,permite,,,,,,,
679,,,análisis,,,,,,,
680,,,argentina,,,,,,,
681,,,acto,,,,,,,
682,,,hechos,,,,,,,
683,,,tiempos,,,,,,,
684,,,políticas,,,,,,,
685,,,radio,,,,,,,
686,,,puedo,,,,,,,
687,,,crecimiento,,,,,,,
688,,,francia,,,,,,,
689,,,compañía,,,,,,,
690,,,amigo,,,,,,,
691,,,autoridades,,,,,,,
692,,,realizar,,,,,,,
693,,,acciones,,,,,,,
694,,,padres,,,,,,,
695,,,diario,,,,,,,
696,,,ve,,,,,,,
697,,,derecha,,,,,,,
698,,,ambiente,,,,,,,
699,,,i,,,,,,,
700,,,habrá,,,,,,,
701,,,precisamente,,,,,,,
702,,,enfermedad,,,,,,,
703,,,especie,,,,,,,
704,,,ejército,,,,,,,
705,,,santa,,,,,,,
706,,,cambios,,,,,,,
707,,,río,,,,,,,
708,,,sabía,,,,,,,
709,,,seguro,,,,,,,
710,,,espera,,,,,,,
711,,,momentos,,,,,,,
712,,,viaje,,,,,,,
713,,,quería,,,,,,,
714,,,ocho,,,,,,,
715,,,vivir,,,,,,,
716,,,región,,,,,,,
717,,,formación,,,,,,,
718,,,escuela,,,,,,,
719,,,cuarto,,,,,,,
720,,,valores,,,,,,,
721,,,quedó,,,,,,,
722,,,participación,,,,,,,
723,,,éxito,,,,,,,
724,,,baja,,,,,,,
725,,,artículo,,,,,,,
726,,,principales,,,,,,,
727,,,fernando,,,,,,,
728,,,metros,,,,,,,
729,,,marcha,,,,,,,
730,,,régimen,,,,,,,
731,,,consecuencia,,,,,,,
732,,,conocimiento,,,,,,,
733,,,corazón,,,,,,,
734,,,campaña,,,,,,,
735,,,estructura,,,,,,,
736,,,efectos,,,,,,,
737,,,finalmente,,,,,,,
738,,,modelo,,,,,,,
739,,,carta,,,,,,,
740,,,construcción,,,,,,,
741,,,médico,,,,,,,
742,,,miedo,,,,,,,
743,,,mayores,,,,,,,
744,,,entrada,,,,,,,
745,,,humanos,,,,,,,
746,,,sean,,,,,,,
747,,,actitud,,,,,,,
748,,,deja,,,,,,,
749,,,dejó,,,,,,,
750,,,d,,,,,,,
751,,,llevar,,,,,,,
752,,,negro,,,,,,,
753,,,texto,,,,,,,
754,,,mitad,,,,,,,
755,,,estuvo,,,,,,,
756,,,alrededor,,,,,,,
757,,,acerca,,,,,,,
758,,,peso,,,,,,,
759,,,humano,,,,,,,
760,,,pequeño,,,,,,,
